,lat,lon,mapper_count,elevation,CENTER_LAT,CENTER_LON,COMMON_SECUREWATCH_DATE,FLAGGED,LAND COVER ELEMENTS:BARE GROUND,LAND COVER ELEMENTS:BUILDING,LAND COVER ELEMENTS:BUSH/SCRUB,LAND COVER ELEMENTS:CULTIVATED VEGETATION,LAND COVER ELEMENTS:GRASS,LAND COVER ELEMENTS:IMPERVIOUS SURFACE (NO BUILDING),LAND COVER ELEMENTS:SHADOW,LAND COVER ELEMENTS:TREES_CANOPYCOVER,LAND COVER ELEMENTS:UNKNOWN,LAND COVER ELEMENTS:WATER>IRRIGATION DITCH,LAND COVER ELEMENTS:WATER>LAKE/PONDED/CONTAINER,LAND COVER ELEMENTS:WATER>RIVERS/STREAM,LAND COVER ELEMENTS:WATER>TREATED POOL
0,18.027425,-67.14852,0,0.0,18.02713486,-67.14860864,,0.0,27.272727272727273,9.090909090909092,0.0,0.0,11.570247933884296,2.479338842975207,16.528925619834713,33.057851239669425,0.0,0.0,0.0,0.0,0.0
1,29.480144,-98.470846,0,0.0,29.48034814,-98.47044471,,0.0,4.132231404958676,4.958677685950414,0.0,6.6115702479338845,12.396694214876034,14.049586776859504,0.0,57.85123966942149,0.0,0.0,0.0,0.0,0.0
2,29.781019,-95.431896,5,0.0,29.78071329,-95.43233755,,0.0,7.024793388429752,21.074380165289256,0.4132231404958678,0.0,11.983471074380166,40.082644628099175,11.570247933884298,7.8512396694214885,0.0,0.0,0.0,0.0,0.0
3,29.781038,-95.430862,0,0.0,29.78071329,-95.43009176,,0.0,14.049586776859504,42.14876033057851,0.0,0.0,9.090909090909092,7.43801652892562,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0
4,29.781057,-95.429829,0,0.0,29.78071329,-95.43009176,,0.0,14.049586776859504,42.14876033057851,0.0,0.0,9.090909090909092,7.43801652892562,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0
5,29.781076,-95.428795,0,0.0,29.78071329,-95.43009176,,0.0,14.049586776859504,42.14876033057851,0.0,0.0,9.090909090909092,7.43801652892562,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0
6,30.301337,-97.888287,1,0.0,30.30161205,-97.88773679,,0.0,3.3057851239669422,0.0,0.0,0.0,0.0,0.0,1.6528925619834711,95.04132231404958,0.0,0.0,0.0,0.0,0.0
7,30.3646,-97.900059,0,0.0,30.36475701,-97.90014421,,0.0,0.0,0.0,0.0,20.66115702479339,0.0,47.933884297520656,14.87603305785124,16.528925619834713,0.0,0.0,0.0,0.0,0.0
8,33.094165,-96.739116,0,0.0,33.09394449,-96.74040921,,0.0,0.0,37.1900826446281,0.0,0.0,19.834710743801654,19.008264462809922,0.0,23.140495867768603,0.0,0.0,0.0,0.0,0.8264462809917356
9,33.097771,-96.739024,6,0.0,33.09770734,-96.738163425,,0.0,0.0,22.727272727272727,0.0,0.0,32.231404958677686,27.685950413223146,0.0,17.355371900826448,0.0,0.0,0.0,0.0,0.0
10,39.05973,-77.243321,104,0.0,39.05972619,-77.24153106,,0.0,2.479338842975207,0.0,0.0,0.0,0.0,0.0,0.0,97.5206611570248,0.0,0.0,0.0,0.0,0.0
11,39.070379,-77.251749,0,0.0,39.0701884,-77.25051421,,0.0,4.958677685950414,0.0,0.0,2.479338842975207,17.355371900826448,0.8264462809917356,0.8264462809917356,67.76859504132231,0.0,0.0,0.0,5.785123966942148,0.0
12,39.070469,-77.247129,0,0.0,39.0701884,-77.24602264,,0.0,0.0,10.743801652892563,0.0,0.0,5.785123966942148,4.958677685950414,0.0,76.85950413223141,0.0,0.0,0.0,0.0,1.6528925619834711
13,39.070491,-77.245973,0,0.0,39.0701884,-77.24602264,,0.0,0.0,10.743801652892563,0.0,0.0,5.785123966942148,4.958677685950414,0.0,76.85950413223141,0.0,0.0,0.0,0.0,1.6528925619834711
